Subject,Session,COND,Warn,IT_CONG_C,IT_CONG_D,IT_CONG_I,IT_CONG_M,IT_NEU_C,IT_NEU_D,IT_NEU_I,IT_NEU_M,IT_MI_C,IT_MI_D,IT_MI_I,IT_MI_M,CONG_C,CONG_I,CONG_M,NEU_C,NEU_I,NEU_M,MI_C,MI_I,MI_M,Misinfo_Effect,IT_CONG_C_Conf,IT_CONG_D_Conf,IT_CONG_I_Conf,IT_CONG_M_Conf,IT_NEU_C_Conf,IT_NEU_D_Conf,IT_NEU_I_Conf,IT_NEU_M_Conf,IT_MI_C_Conf,IT_MI_D_Conf,IT_MI_I_Conf,IT_MI_M_Conf,FT_CONG_C_Conf,FT_CONG_I_Conf,FT_CONG_M_Conf,FT_NEU_C_Conf,FT_NEU_I_Conf,FT_NEU_M_Conf,FT_MI_C_Conf,FT_MI_I_Conf,FT_MI_M_Conf,IT_Conf_1Q,IT_Conf_2Q,IT_Conf_3Q,IT_Conf_4Q,IT_Cong_Conf_1Q,IT_Cong_Conf_2Q,IT_Cong_Conf_3Q,IT_Cong_Conf_4Q,IT_Neu_Conf_1Q,IT_Neu_Conf_2Q,IT_Neu_Conf_3Q,IT_Neu_Conf_4Q,IT_Misl_Conf_1Q,IT_Misl_Conf_2Q,IT_Misl_Conf_3Q,IT_Misl_Conf_4Q,FT_Cong_Conf_1Q,FT_Cong_Conf_2Q,FT_Cong_Conf_3Q,FT_Cong_Conf_4Q,FT_Neu_Conf_1Q,FT_Neu_Conf_2Q,FT_Neu_Conf_3Q,FT_Neu_Conf_4Q,FT_Misl_Conf_1Q,FT_Misl_Conf_2Q,FT_Misl_Conf_3Q,FT_Misl_Conf_4Q,IT_Acc_ITConf_1Q,IT_Acc_ITConf_2Q,IT_Acc_ITConf_3Q,IT_Acc_ITConf_4Q,FTCongAcc_FTConf1Q,FTCongAcc_FTConf2Q,FTCongAcc_FTConf3Q,FTCongAcc_FTConf4Q,FTNeuAcc_FTConf1Q,FTNeuAcc_FTConf2Q,FTNeuAcc_FTConf3Q,FTNeuAcc_FTConf4Q,FTMislAcc_FTConf1Q,FTMislAcc_FTConf2Q,FTMislAcc_FTConf3Q,FTMislAcc_FTConf4Q,FTCongAcc_ITConf1Q,FTCongAcc_ITConf2Q,FTCongAcc_ITConf3Q,FTCongAcc_ITConf4Q,FTNeuAcc_ITConf1Q,FTNeuAcc_ITConf2Q,FTNeuAcc_ITConf3Q,FTNeuAcc_ITConf4Q,FTMislAcc_ITConf1Q,FTMislAcc_ITConf2Q,FTMislAcc_ITConf3Q,FTMislAcc_ITConf4Q
301,2,T,NW,0.38,0.50,0.13,0.00,0.50,0.50,0.00,0.00,0.25,0.50,0.13,0.13,1.00,0.00,0.00,0.50,0.38,0.13,0.25,0.13,0.63,0.50,97,0,50,,88,,,,100,,99,65,100,,,75,93,100,100,80,96,82.7,100.0,,,50.0,100.0,,,99.0,,,,99.0,100.0,,,100,100,100,100,40,100,100,100,80,100,100,100,0.33,1.00,0.17,0.00,1,1,1,1,0.5,1,0,0.5,0,0.5,0.5,0,1,1,1,1,1,0.5,0.5,0,0,1,0,0
302,3,T,NW,0.13,0.13,0.63,0.13,0.38,0.00,0.50,0.13,0.38,0.00,0.63,0.00,1.00,0.00,0.00,0.50,0.38,0.13,0.00,0.13,0.88,0.75,100,,67,40,100,,63,50,93,,57,,88,,,75,40,50,,0,77,44.3,84.0,100.0,100.0,78.0,100.0,,,50.0,72.0,100.0,100.0,5.0,80.0,100.0,100.0,50.5,100,100,100,0.5,35,100,100,10,70,100,100,0.00,0.33,0.50,0.33,1,1,1,1,0.5,0,1,0.5,0,0,0,0,1,1,1,1,0,0.5,0.5,1,0,0,0,0
304,2,T,NW,0.38,0.25,0.38,0.00,0.50,0.13,0.38,0.00,0.13,0.13,0.75,0.00,0.88,0.00,0.13,0.63,0.25,0.13,0.38,0.25,0.38,0.25,87,0,47,,97,,70,,80,0,68,,96,,60,100,70,40,87,80,100,43.3,68.3,86.7,100.0,0.0,40.0,80.0,100.0,90.0,100.0,100.0,,40.0,65.0,80.0,,67.5,100,100,100,40,100,100,100,60,100,100,100,0.17,0.33,0.33,0.50,0.5,1,1,1,0,0.5,1,1,0.5,0.5,0.5,0,1,0.5,1,1,1,1,0,0.5,0,0.5,0.5,0.5
305,3,T,NW,0.50,0.00,0.50,0.00,0.50,0.13,0.38,0.00,0.38,0.13,0.50,0.00,0.88,0.13,0.00,0.38,0.50,0.13,0.13,0.13,0.75,0.63,60,,35,,63,0,33,,83,100,23,,83,0,,83,15,0,100,0,83,6.7,43.3,70.0,100.0,20.0,30.0,60.0,100.0,0.0,50.0,50.0,100.0,0.0,50.0,100.0,100.0,25,75,100,100,0,5,50,100,0,100,100,100,0.33,0.33,0.33,0.83,0.5,1,1,1,0,0,0.5,1,0,0,0,0.5,0.5,1,1,1,0,0,0.5,1,0,0,0,0.5
306,1,T,NW,0.63,0.00,0.38,0.00,0.50,0.00,0.50,0.00,0.50,0.00,0.38,0.13,0.88,0.13,0.00,0.63,0.25,0.13,0.13,0.00,0.88,0.75,90,,60,,86,,24,,89,,45,60,100,100,,74,50,0,5,,97,33.3,75.0,95.0,100.0,50.0,100.0,100.0,100.0,0.0,50.0,95.0,100.0,50.0,75.0,90.0,100.0,100,100,100,100,0,35,100,100,47.5,95,100,100,0.17,0.50,0.67,0.83,1,1,1,0.5,0,1,1,0.5,0.5,0,0,0,1,1,1,0.5,0,1,0.5,1,0.5,0,0,0
307,2,T,NW,0.13,0.00,0.63,0.25,0.13,0.00,0.88,0.00,0.13,0.00,0.88,0.00,0.50,0.38,0.13,0.38,0.63,0.00,0.50,0.38,0.13,0.13,6,,3,1,8,,2,,3,,2,,100,33,5,100,35,,36,33,100,0.3,1.3,4.3,7.0,1.0,2.0,3.0,8.0,0.0,2.0,5.0,,0.0,0.0,5.0,6.0,0,52.5,100,100,2.5,100,100,,0,3.5,100,100,0.00,0.00,0.17,0.33,0,0.5,0.5,1,0,0.5,1,0,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0,0,1,0.5,0.5,0.5,0.5,0.5
308,3,T,NW,0.75,0.00,0.25,0.00,0.50,0.00,0.38,0.13,0.63,0.00,0.38,0.00,1.00,0.00,0.00,0.63,0.25,0.13,0.50,0.13,0.38,0.25,100,,55,,100,,17,0,95,,42,,97,,,84,40,75,100,40,80,50.0,75.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,50.0,100.0,100.0,50.0,75.0,100.0,100.0,87.5,100,100,100,30,57.5,100,100,45,95,100,100,0.17,0.50,1.00,0.83,1,1,1,1,0.5,0,1,1,0,0.5,1,0.5,1,1,1,1,0.5,0,1,1,0,0,1,1
309,1,T,NW,0.63,0.00,0.38,0.00,0.88,0.00,0.00,0.13,0.25,0.00,0.50,0.25,1.00,0.00,0.00,0.88,0.13,0.00,0.13,0.00,0.88,0.88,95,,83,,86,,,0,63,,13,25,100,,,86,50,,50,,100,42.0,66.7,75.0,100.0,75.0,100.0,100.0,100.0,50.0,75.0,100.0,100.0,1.0,25.0,25.0,100.0,100,100,100,100,50,75,100,100,75,100,100,100,0.33,0.83,0.50,0.67,1,1,1,1,0.5,1,1,1,0.5,0,0,0,1,1,1,1,0.5,1,1,1,0.5,0,0,0
310,2,T,NW,0.38,0.13,0.50,0.00,0.25,0.38,0.38,0.00,0.38,0.25,0.38,0.00,0.88,0.13,0.00,0.50,0.25,0.25,0.50,0.00,0.50,0.25,53,0,20,,95,0,57,,67,0,40,,81,60,,80,20,40,83,,100,0.0,33.3,56.7,100.0,0.0,20.0,40.0,100.0,0.0,50.0,70.0,100.0,0.0,30.0,60.0,100.0,55,60,100,100,5,25,90,100,65,100,100,100,0.00,0.33,0.17,0.83,1,0.5,1,1,0,0.5,0.5,1,1,0.5,0,0.5,0.5,1,1,1,0.5,0,0.5,1,0.5,0,0.5,1
311,3,T,NW,0.63,0.00,0.38,0.00,0.25,0.25,0.38,0.13,0.50,0.00,0.50,0.00,1.00,0.00,0.00,0.63,0.25,0.13,0.63,0.25,0.13,0.00,67,,17,,100,0,20,100,93,,34,,71,,,58,0,50,100,75,20,3.3,36.7,96.7,100.0,0.0,30.0,90.0,100.0,0.0,10.0,100.0,100.0,10.0,70.0,100.0,100.0,22.5,60,100,100,0,45,75,100,35,100,100,100,0.17,0.33,0.67,0.67,1,1,1,1,0.5,0.5,1,0.5,0,0.5,1,1,1,1,1,1,0,1,1,0.5,0,1,1,0.5
